Geo_Name,state_code,Survey_Year,Tax_Type,item,Amount
United States,0,2019,Total Taxes,T00,"1,090,242,189"
United States,0,2019,Property Taxes,T01,"21,122,955"
United States,0,2019,Sales and Gross Receipts Taxes,TA1,"505,225,258"
United States,0,2019,License Taxes,TA3,"59,138,337"
United States,0,2019,Income Taxes,TA4,"470,574,829"
United States,0,2019,Other Taxes,TA5,"34,180,810"
Alabama,01,2019,Total Taxes,T00,"11,576,632"
Alabama,01,2019,Property Taxes,T01,"422,322"
Alabama,01,2019,Sales and Gross Receipts Taxes,TA1,"5,619,450"
Alabama,01,2019,License Taxes,TA3,"555,980"
Alabama,01,2019,Income Taxes,TA4,"4,879,140"
Alabama,01,2019,Other Taxes,TA5,"99,740"
Alaska,02,2019,Total Taxes,T00,"1,780,911"
Alaska,02,2019,Property Taxes,T01,"121,501"
Alaska,02,2019,Sales and Gross Receipts Taxes,TA1,"278,823"
Alaska,02,2019,License Taxes,TA3,"159,757"
Alaska,02,2019,Income Taxes,TA4,"332,520"
Alaska,02,2019,Other Taxes,TA5,"888,310"
Arizona,03,2019,Total Taxes,T00,"18,163,903"
Arizona,03,2019,Property Taxes,T01,"1,091,363"
Arizona,03,2019,Sales and Gross Receipts Taxes,TA1,"10,443,788"
Arizona,03,2019,License Taxes,TA3,"580,141"
Arizona,03,2019,Income Taxes,TA4,"5,871,515"
Arizona,03,2019,Other Taxes,TA5,"177,096"
Arkansas,04,2019,Total Taxes,T00,"10,217,866"
Arkansas,04,2019,Property Taxes,T01,"1,208,746"
Arkansas,04,2019,Sales and Gross Receipts Taxes,TA1,"4,920,468"
Arkansas,04,2019,License Taxes,TA3,"403,627"
Arkansas,04,2019,Income Taxes,TA4,"3,546,406"
Arkansas,04,2019,Other Taxes,TA5,"138,619"
California,05,2019,Total Taxes,T00,"188,235,271"
California,05,2019,Property Taxes,T01,"2,977,083"
California,05,2019,Sales and Gross Receipts Taxes,TA1,"60,233,962"
California,05,2019,License Taxes,TA3,"11,041,442"
California,05,2019,Income Taxes,TA4,"113,872,440"
California,05,2019,Other Taxes,TA5,"110,344"
Colorado,06,2019,Total Taxes,T00,"15,869,834"
Colorado,06,2019,Property Taxes,T01,X
Colorado,06,2019,Sales and Gross Receipts Taxes,TA1,"5,988,535"
Colorado,06,2019,License Taxes,TA3,"697,149"
Colorado,06,2019,Income Taxes,TA4,"8,966,205"
Colorado,06,2019,Other Taxes,TA5,"217,945"
Connecticut,07,2019,Total Taxes,T00,"17,993,741"
Connecticut,07,2019,Property Taxes,T01,X
Connecticut,07,2019,Sales and Gross Receipts Taxes,TA1,"7,787,888"
Connecticut,07,2019,License Taxes,TA3,"411,475"
Connecticut,07,2019,Income Taxes,TA4,"9,357,648"
Connecticut,07,2019,Other Taxes,TA5,"436,730"
Delaware,08,2019,Total Taxes,T00,"4,595,544"
Delaware,08,2019,Property Taxes,T01,X
Delaware,08,2019,Sales and Gross Receipts Taxes,TA1,"602,601"
Delaware,08,2019,License Taxes,TA3,"1,784,760"
Delaware,08,2019,Income Taxes,TA4,"2,031,392"
Delaware,08,2019,Other Taxes,TA5,"176,791"
DC,09,2019,Total Taxes,T00,"8,679,390"
DC,09,2019,Property Taxes,T01,"2,789,077"
DC,09,2019,Sales and Gross Receipts Taxes,TA1,"2,098,154"
DC,09,2019,License Taxes,TA3,"207,625"
DC,09,2019,Income Taxes,TA4,"2,941,983"
DC,09,2019,Other Taxes,TA5,"642,551"
Florida,10,2019,Total Taxes,T00,"44,799,831"
Florida,10,2019,Property Taxes,T01,X
Florida,10,2019,Sales and Gross Receipts Taxes,TA1,"36,492,076"
Florida,10,2019,License Taxes,TA3,"2,124,415"
Florida,10,2019,Income Taxes,TA4,"3,114,711"
Florida,10,2019,Other Taxes,TA5,"3,068,629"
Georgia,11,2019,Total Taxes,T00,"24,712,873"
Georgia,11,2019,Property Taxes,T01,"864,858"
Georgia,11,2019,Sales and Gross Receipts Taxes,TA1,"9,509,465"
Georgia,11,2019,License Taxes,TA3,"710,701"
Georgia,11,2019,Income Taxes,TA4,"13,448,213"
Georgia,11,2019,Other Taxes,TA5,"179,636"
Hawaii,12,2019,Total Taxes,T00,"8,207,524"
Hawaii,12,2019,Property Taxes,T01,X
Hawaii,12,2019,Sales and Gross Receipts Taxes,TA1,"5,062,134"
Hawaii,12,2019,License Taxes,TA3,"280,311"
Hawaii,12,2019,Income Taxes,TA4,"2,758,743"
Hawaii,12,2019,Other Taxes,TA5,"106,336"
Idaho,13,2019,Total Taxes,T00,"4,883,696"
Idaho,13,2019,Property Taxes,T01,X
Idaho,13,2019,Sales and Gross Receipts Taxes,TA1,"2,533,832"
Idaho,13,2019,License Taxes,TA3,"387,442"
Idaho,13,2019,Income Taxes,TA4,"1,953,737"
Idaho,13,2019,Other Taxes,TA5,"8,685"
Illinois,14,2019,Total Taxes,T00,"42,501,290"
Illinois,14,2019,Property Taxes,T01,"60,781"
Illinois,14,2019,Sales and Gross Receipts Taxes,TA1,"19,534,290"
Illinois,14,2019,License Taxes,TA3,"2,779,724"
Illinois,14,2019,Income Taxes,TA4,"19,632,006"
Illinois,14,2019,Other Taxes,TA5,"494,489"
Indiana,15,2019,Total Taxes,T00,"20,171,288"
Indiana,15,2019,Property Taxes,T01,"13,225"
Indiana,15,2019,Sales and Gross Receipts Taxes,TA1,"12,579,447"
Indiana,15,2019,License Taxes,TA3,"767,938"
Indiana,15,2019,Income Taxes,TA4,"6,809,312"
Indiana,15,2019,Other Taxes,TA5,"1,366"
Iowa,16,2019,Total Taxes,T00,"10,583,869"
Iowa,16,2019,Property Taxes,T01,"1,982"
Iowa,16,2019,Sales and Gross Receipts Taxes,TA1,"4,857,865"
Iowa,16,2019,License Taxes,TA3,"990,985"
Iowa,16,2019,Income Taxes,TA4,"4,633,614"
Iowa,16,2019,Other Taxes,TA5,"99,423"
Kansas,17,2019,Total Taxes,T00,"10,030,158"
Kansas,17,2019,Property Taxes,T01,"752,820"
Kansas,17,2019,Sales and Gross Receipts Taxes,TA1,"4,523,724"
Kansas,17,2019,License Taxes,TA3,"433,280"
Kansas,17,2019,Income Taxes,TA4,"4,264,874"
Kansas,17,2019,Other Taxes,TA5,"55,460"
Kentucky,18,2019,Total Taxes,T00,"12,895,595"
Kentucky,18,2019,Property Taxes,T01,"648,739"
Kentucky,18,2019,Sales and Gross Receipts Taxes,TA1,"6,311,232"
Kentucky,18,2019,License Taxes,TA3,"530,272"
Kentucky,18,2019,Income Taxes,TA4,"5,209,188"
Kentucky,18,2019,Other Taxes,TA5,"196,164"
Louisiana,19,2019,Total Taxes,T00,"11,748,609"
Louisiana,19,2019,Property Taxes,T01,"76,050"
Louisiana,19,2019,Sales and Gross Receipts Taxes,TA1,"6,400,439"
Louisiana,19,2019,License Taxes,TA3,"438,495"
Louisiana,19,2019,Income Taxes,TA4,"4,328,623"
Louisiana,19,2019,Other Taxes,TA5,"505,002"
Maine,20,2019,Total Taxes,T00,"4,674,441"
Maine,20,2019,Property Taxes,T01,"41,110"
Maine,20,2019,Sales and Gross Receipts Taxes,TA1,"2,327,733"
Maine,20,2019,License Taxes,TA3,"291,044"
Maine,20,2019,Income Taxes,TA4,"1,961,936"
Maine,20,2019,Other Taxes,TA5,"52,618"
Maryland,21,2019,Total Taxes,T00,"23,606,217"
Maryland,21,2019,Property Taxes,T01,"836,498"
Maryland,21,2019,Sales and Gross Receipts Taxes,TA1,"9,895,931"
Maryland,21,2019,License Taxes,TA3,"913,034"
Maryland,21,2019,Income Taxes,TA4,"11,368,130"
Maryland,21,2019,Other Taxes,TA5,"592,624"
Massachusetts,22,2019,Total Taxes,T00,"31,805,410"
Massachusetts,22,2019,Property Taxes,T01,"7,356"
Massachusetts,22,2019,Sales and Gross Receipts Taxes,TA1,"9,557,950"
Massachusetts,22,2019,License Taxes,TA3,"1,199,646"
Massachusetts,22,2019,Income Taxes,TA4,"20,097,631"
Massachusetts,22,2019,Other Taxes,TA5,"942,827"
